ID;Motorway;SR;NR;VR;UR;OR;RR;BR;MR;CR;Green frogs;Brown frogs;Common toad;Fire-bellied toad;Tree frog;Common newt;Great crested newt
Integer;Categorical;Numerical;Numerical;Categorical;Categorical;Numerical;Ordinal;Ordinal;Categorical;Categorical;Label 1;Label 2;Label 3;Label 4;Label 5;Label 6;Label 7
1;A1;600;1;4;0;50;0;0;0;1;0;0;0;0;0;0;0
2;A1;700;1;1;3;75;1;1;0;1;0;1;1;0;0;1;0
3;A1;200;1;1;3;75;1;1;0;1;0;1;1;0;0;1;0
4;A1;300;1;0;3;25;0;0;0;1;0;0;1;0;0;0;0
5;A1;600;2;4;0;99;0;5;0;1;0;1;1;1;0;1;1
6;A1;200;1;1;1;50;0;0;0;1;0;0;0;0;0;0;0
7;A1;500;1;0;1;25;0;0;0;2;0;0;1;0;0;0;0
8;A1;700;1;2;0;100;1;1;0;1;1;1;0;1;0;0;0
9;A1;750;2;1;0;50;1;0;0;1;0;1;1;0;0;0;0
10;A1;200;1;4;0;75;1;0;0;1;0;1;1;0;0;0;0
11;A1;200;1;4;0;100;2;1;0;1;1;0;0;0;0;0;0
12;A1;300;1;2;0;100;2;1;0;1;0;1;1;0;0;0;0
13;A1;7000;1;1;3;50;1;5;0;1;1;0;1;0;0;0;0
14;A1;1700;1;1;0;100;2;2;2;1;1;1;1;0;0;0;0
15;A1;8000;1;3;0;100;9;9;0;1;0;1;1;0;0;0;0
16;A1;30000;1;3;0;100;2;10;0;1;1;1;1;1;1;0;0
17;A1;300;1;4;0;100;5;10;0;1;0;1;1;0;1;0;0
18;A1;300;1;1;0;75;0;5;0;1;0;1;1;0;0;0;0
19;A1;1600;3;0;3;75;2;1;0;1;1;1;1;1;0;0;0
20;A1;3800;6;2;3;25;0;0;0;1;1;0;1;0;1;0;0
21;A1;7000;6;1;3;50;0;0;0;1;1;0;1;0;0;0;0
22;A1;2500;1;3;0;100;0;1;0;1;1;0;1;0;0;1;0
23;A1;800;1;0;3;100;2;1;0;1;0;1;1;0;0;0;0
24;A1;1700;1;3;0;100;0;0;0;1;0;1;1;0;0;0;0
25;A1;300;1;2;0;100;5;5;2;1;1;0;0;0;0;1;0
26;A1;4500;1;1;3;100;9;9;0;1;1;1;1;0;1;0;0
27;A1;1000;1;4;0;100;5;9;0;1;0;1;0;0;0;0;0
28;A1;7000;1;4;0;100;5;5;0;1;0;0;0;1;1;0;1
29;A1;30000;1;3;1;100;5;5;0;1;1;1;1;0;0;1;1
30;A1;7000;1;3;0;100;0;1;0;1;0;1;1;0;1;0;0
31;A1;3300;1;3;0;100;5;5;0;1;0;1;0;0;1;0;0
32;A1;2100;1;3;0;50;0;1;0;1;0;0;0;0;1;0;0
33;A1;500;1;0;3;100;2;1;0;1;1;1;0;0;0;0;0
34;A1;400;2;2;0;100;1;5;0;1;0;1;0;0;0;0;0
35;A1;300;1;1;0;100;2;2;0;1;0;1;1;0;0;0;0
36;A1;1100;1;0;3;100;2;2;0;1;0;1;1;0;0;0;0
37;A1;1000;1;2;0;100;1;1;0;1;0;0;0;1;0;0;0
38;A1;400;1;1;1;75;2;0;0;1;0;0;1;0;1;0;1
39;A1;100;1;2;0;100;1;1;0;1;0;1;0;0;0;0;0
40;A1;100;1;1;3;100;2;1;0;1;1;0;0;0;0;0;0
41;A1;80000;1;4;0;100;5;5;0;1;1;0;0;1;1;0;0
42;A1;200;1;4;0;100;5;5;0;1;0;0;1;1;1;0;0
43;A1;100;1;4;0;100;5;5;0;1;0;0;1;0;1;0;0
44;A1;2500;1;3;0;75;0;2;0;1;0;1;0;0;0;0;0
45;A1;31000;6;0;3;100;5;5;0;1;1;1;1;0;0;0;0
46;A1;500;1;4;0;100;5;5;0;1;1;1;1;1;1;0;0
47;A1;25000;5;0;3;75;0;0;0;1;1;0;0;1;0;0;0
48;A1;40000;1;1;3;100;5;0;0;1;1;1;0;1;0;1;0
49;A1;1900;7;4;0;100;5;5;0;1;1;1;0;0;1;1;0
50;A1;30;1;2;0;75;0;1;0;1;0;1;1;0;0;1;0
51;A1;4300;1;3;0;100;5;5;0;1;1;1;1;0;1;0;1
52;A1;4000;1;3;0;100;5;5;0;1;1;1;1;0;0;0;0
53;A1;300;1;4;0;99;2;2;0;1;0;1;0;0;0;0;0
54;A1;400;1;2;0;100;0;1;0;1;0;1;0;0;0;1;0
55;A1;1000;1;1;0;100;5;5;0;1;1;1;1;1;1;1;0
56;A1;1500;2;2;1;100;5;0;0;1;0;1;1;0;0;0;0
57;A1;300;1;3;0;100;5;5;0;1;1;1;1;0;1;1;0
58;A1;600;1;2;0;100;2;2;0;1;0;0;0;0;1;0;0
59;A1;28300;4;1;3;100;0;0;0;1;1;1;1;1;0;0;0
60;A1;1000;1;0;3;75;0;0;0;1;1;0;1;0;0;0;0
61;A1;50;1;2;0;100;5;5;0;1;1;1;1;1;0;0;0
62;A1;9000;2;0;1;100;1;1;0;1;1;0;1;0;0;0;0
63;A1;19300;2;1;3;75;2;0;0;1;1;1;1;1;1;0;0
64;A1;100;1;4;0;100;1;2;0;1;1;0;1;0;0;0;0
65;A1;3500;1;0;0;50;0;0;0;1;1;1;1;0;0;0;0
66;A1;300;1;3;0;100;5;5;0;1;1;1;0;0;0;0;0
67;A1;100;1;4;0;100;5;5;0;1;0;1;0;0;0;0;0
68;A1;200;1;4;0;100;0;0;0;1;0;1;0;0;0;0;0
69;A1;300;1;4;0;100;2;5;0;1;0;1;0;0;0;0;0
70;A1;300;1;3;0;100;10;10;0;1;1;1;1;0;1;0;0
71;A1;300;1;3;0;100;10;10;0;1;1;1;0;1;0;0;0
72;A1;300;1;3;0;100;5;5;0;1;1;1;1;0;0;0;0
73;A1;1000;1;2;0;75;0;0;0;1;0;0;1;0;0;0;0
74;A1;9100;1;0;3;100;5;5;0;1;1;0;0;0;0;0;0
75;A1;100;1;4;0;100;10;10;0;1;1;1;1;0;1;0;0
76;A1;100;1;2;0;100;2;2;2;1;1;0;0;0;0;0;0
77;A1;300;1;3;0;100;5;1;0;1;0;0;0;1;1;0;0
78;A1;500;2;0;3;100;1;2;0;1;0;0;1;0;0;0;0
79;A1;1000;1;3;0;100;2;5;0;1;0;0;0;0;1;0;0
80;A1;500;1;4;0;100;10;10;0;1;1;0;1;0;0;1;0
81;S52;600;2;1;3;100;1;0;0;1;1;1;1;0;1;1;1
82;S52;1300;1;0;3;100;1;1;0;1;0;1;1;0;0;0;0
83;S52;2000;3;4;0;100;5;5;0;1;0;1;1;0;0;0;0
84;S52;300;1;2;0;100;2;5;0;1;0;1;1;0;1;0;0
85;S52;10050;1;2;0;100;5;5;0;1;0;1;1;1;0;1;1
86;S52;9000;3;2;0;100;9;9;0;1;1;1;1;0;1;0;0
87;S52;300;1;3;0;100;9;9;0;1;0;1;1;0;1;0;0
88;S52;300;1;1;0;100;5;5;0;1;0;1;1;0;1;0;0
89;S52;3500;1;2;0;100;2;2;0;1;1;1;1;1;0;1;0
90;S52;300;1;0;0;100;1;1;0;1;1;0;0;0;0;0;0
91;S52;16000;4;2;0;100;1;5;0;1;1;1;1;1;0;1;0
92;S52;500;1;1;0;100;2;2;0;1;1;1;1;1;0;1;0
93;S52;3500;1;3;0;100;2;2;0;1;1;1;1;0;0;1;0
94;S52;300;1;1;0;100;5;5;0;1;1;1;0;1;0;1;0
95;S52;5000;1;0;3;100;5;5;0;1;1;1;1;1;0;1;0
96;S52;10000;1;3;0;100;5;5;0;1;1;1;1;1;1;1;1
97;S52;10000;4;0;0;75;0;0;0;1;0;1;1;0;1;0;0
98;S52;29000;3;2;3;100;2;0;0;1;1;1;1;1;1;1;1
99;S52;8250;1;3;0;100;1;2;0;1;1;1;1;1;1;1;1
100;S52;250;1;1;0;100;2;5;0;1;1;1;1;1;1;1;1
101;S52;80000;2;1;3;100;2;2;0;1;1;1;1;0;0;0;0
102;S52;300;1;1;0;100;1;1;0;1;0;1;1;0;0;0;0
103;S52;500000;9;3;3;75;1;1;0;1;1;1;1;1;1;1;1
104;S52;50000;10;4;0;100;2;2;0;1;1;1;1;1;1;1;1
105;S52;8000;1;2;3;100;0;2;0;1;1;1;0;0;0;0;0
106;S52;450;1;1;0;25;1;1;0;1;1;1;1;0;1;1;0
107;S52;300;1;0;0;100;0;1;0;1;0;1;0;0;0;0;0
108;S52;50;1;1;0;50;0;0;0;1;0;1;1;0;1;0;0
109;S52;50;1;2;0;100;9;5;0;1;1;1;0;0;0;0;0
110;S52;8300;2;2;3;100;2;2;0;1;1;1;1;0;1;0;0
111;S52;1800;1;0;3;100;1;2;0;1;1;1;1;1;1;1;1
112;S52;150;2;1;0;100;0;1;0;1;1;1;1;1;1;1;1
113;S52;500;1;3;0;75;0;1;0;1;1;1;1;1;1;1;0
114;S52;900;1;1;3;100;2;2;0;1;1;1;1;1;1;1;0
115;S52;300;1;1;0;100;1;1;0;1;0;1;1;0;0;0;0
116;S52;300;1;1;0;100;1;1;0;1;0;1;1;0;0;0;0
117;S52;300;1;1;1;100;1;1;0;1;0;1;0;0;0;0;0
118;S52;3000;1;3;0;100;5;5;0;1;1;1;1;0;0;1;0
119;S52;450;1;1;3;100;5;2;0;1;1;1;0;1;0;1;0
120;S52;300;1;1;0;100;5;5;0;1;1;0;0;1;0;0;0
121;S52;200;1;2;3;100;1;1;0;1;1;1;1;0;0;0;0
122;S52;700;1;0;3;100;1;1;0;1;1;1;1;0;1;1;1
123;S52;300;1;1;0;100;1;1;0;1;0;1;0;0;0;0;0
124;S52;300;1;2;0;50;2;5;0;1;0;1;0;0;0;0;0
125;S52;300;1;1;0;100;0;2;0;1;0;0;0;0;0;0;0
126;S52;300;1;1;0;100;1;1;0;1;0;0;0;0;1;0;0
127;S52;200;1;1;0;100;1;1;0;1;1;1;1;1;1;1;1
128;S52;350;1;2;0;100;1;1;0;1;1;1;1;1;1;1;0
129;S52;300;1;1;0;100;5;5;0;1;0;0;0;0;0;0;0
130;S52;1000;1;1;0;100;2;9;0;1;0;1;0;0;0;0;0
131;S52;100;1;1;0;100;9;9;0;1;0;1;1;1;0;0;0
132;S52;300;1;1;0;100;2;5;0;1;0;0;0;0;0;0;0
133;S52;6300;3;0;0;100;2;1;0;1;1;1;1;0;0;0;0
134;S52;3400;2;0;0;75;1;1;0;1;1;0;0;0;0;1;0
135;S52;2400;2;0;3;75;1;1;0;1;1;0;0;0;0;0;0
136;S52;115000;5;0;3;100;0;1;0;1;1;1;0;0;0;0;0
137;S52;40000;4;1;3;100;1;1;0;1;1;1;1;1;1;0;0
138;S52;300;1;0;3;50;0;0;0;1;1;1;1;0;1;0;0
139;S52;1500;1;0;3;25;0;0;0;1;1;0;0;0;0;0;0
140;S52;4000;2;0;3;100;2;1;0;1;1;1;0;0;0;0;0
141;S52;360000;12;1;3;100;1;1;0;1;1;1;1;1;1;1;0
142;S52;4100;5;1;3;100;0;1;0;1;1;1;1;0;1;0;0
143;S52;2300;1;1;1;100;0;0;0;1;1;1;1;1;1;1;0
144;S52;1500;3;1;3;100;2;2;0;1;1;1;1;1;1;1;0
145;S52;300;1;3;0;100;2;1;0;1;1;1;0;0;0;0;0
146;S52;15000;2;2;3;100;0;1;0;1;1;1;1;0;0;1;0
147;S52;1700;1;3;0;25;0;0;0;1;1;1;1;0;1;1;0
148;S52;2500;2;3;0;75;0;0;0;1;1;1;1;1;0;1;0
149;S52;2400;1;2;0;100;1;1;0;1;1;1;1;0;1;1;0
150;S52;300;1;3;0;100;1;1;0;1;1;1;1;1;1;0;0
151;S52;2600;2;2;3;50;0;1;0;1;1;1;1;0;0;0;0
152;S52;600;1;4;0;50;0;0;0;1;0;1;0;1;0;0;0
153;S52;2000;1;3;0;50;0;0;0;1;1;1;1;0;0;0;0
154;S52;26000;3;1;3;100;1;2;0;1;1;1;1;1;1;1;0
155;S52;350;1;0;3;100;1;1;0;1;1;1;1;1;1;1;0
156;S52;200;1;3;0;50;1;1;1;2;1;1;1;0;0;0;0
157;S52;2300;1;2;0;100;2;1;0;1;1;1;1;0;1;1;0
158;S52;300;1;1;0;100;1;1;2;1;0;1;0;0;0;0;0
159;S52;600;1;2;3;100;2;2;0;1;1;1;1;1;1;1;0
160;S52;300;1;3;0;100;1;2;0;1;0;1;0;0;0;0;0
161;S52;1400;1;1;0;100;5;5;0;1;1;1;1;1;1;1;0
162;S52;3000;1;3;0;100;5;2;0;1;1;1;1;1;1;1;0
163;S52;300;1;1;0;100;5;5;0;1;0;1;0;0;0;0;0
164;S52;2300;1;1;3;50;1;0;0;1;1;1;1;0;1;0;0
165;S52;2600;1;2;0;50;0;0;0;1;1;1;1;0;1;0;0
166;S52;300;1;1;0;100;2;0;0;1;0;1;1;1;0;0;0
167;S52;300;1;3;0;25;0;0;0;1;1;1;1;1;1;0;0
168;S52;22000;1;4;0;100;0;0;0;1;1;1;1;1;1;0;0
169;S52;300;1;3;0;100;2;0;0;1;0;1;0;0;0;0;0
170;S52;300;1;4;0;100;5;5;0;1;0;1;0;0;0;0;0
171;S52;1000;2;3;0;100;0;1;0;1;1;1;1;1;1;1;1
172;S52;300;1;1;0;100;0;1;0;1;0;1;0;0;0;0;0
173;S52;300;1;1;0;100;9;5;0;1;0;1;0;0;0;0;0
174;S52;1100;2;3;0;100;0;0;0;1;0;1;1;1;1;1;1
175;S52;200;1;1;0;75;0;0;0;1;0;1;1;1;1;1;1
176;S52;1000;1;4;0;100;1;1;0;1;1;0;0;0;1;0;0
177;S52;300;1;2;0;75;0;2;0;1;0;1;0;0;0;0;0
178;S52;1000;1;2;0;75;1;2;0;1;0;1;0;0;0;0;0
179;S52;1100;1;0;3;100;5;1;0;2;0;0;0;0;0;0;0
180;S52;2500;1;4;0;100;5;1;0;1;1;1;1;0;1;1;0
181;S52;4000;2;1;3;80;1;1;0;1;1;1;1;0;1;1;1
182;S52;200;1;3;0;100;1;2;0;1;0;1;1;0;0;0;0
183;S52;350;1;0;1;100;1;1;0;1;1;1;1;0;0;0;0
184;S52;4000;1;4;0;100;1;1;0;1;0;1;1;0;0;0;0
185;S52;2300;1;3;0;75;2;1;0;1;0;1;0;0;0;0;0
186;S52;300;1;2;0;100;5;5;0;1;1;1;1;1;0;1;0
187;S52;500;1;4;0;100;5;5;0;1;1;1;1;1;0;1;0
188;S52;300;1;3;0;100;1;0;0;1;0;1;1;0;0;0;0
189;S52;300;1;3;0;100;1;1;0;1;0;1;1;0;0;0;0
